Info,Info_Set,Accuracy
Stand (8/1),Exp_2025-08-01-v1/E9AD0E7DCC2B/,0.0
Sit_chair (8/1),Exp_2025-08-01-v2/E9AD0E7DCC2B/,86.20689511299133
Stand (8/2),Exp_2025-08-02-v1/E9AD0E7DCC2B/,86.48
Sit_chair (8/2),Exp_2025-08-02-v2/E9AD0E7DCC2B/,88.2
Stand (8/9),Exp_2025-08-09-v1/E9AD0E7DCC2B/,88.5
Sit_chair (8/9),Exp_2025-08-09-v2/E9AD0E7DCC2B/,88.44
Stand (8/10),Exp_2025-08-10-v1/E9AD0E7DCC2B/,87.5
Sit_chair (8/10),Exp_2025-08-10-v2/E9AD0E7DCC2B/,88.7
Stand (8/11),Exp_2025-08-11-v1/E9AD0E7DCC2B/,88.47
Sit_chair (8/11),Exp_2025-08-11-v2/E9AD0E7DCC2B/,86.52
Stand (8/12),Exp_2025-08-12-v1/E9AD0E7DCC2B/,87.79
Sit_chair (8/12),Exp_2025-08-12-v2/E9AD0E7DCC2B/,85.96
Stand (8/13),Exp_2025-08-13-v1/E9AD0E7DCC2B/,84.89
Sit_chair (8/13),Exp_2025-08-13-v2/E9AD0E7DCC2B/,86.64
