Info,Info_Set,Accuracy
Stand (5/27),Exp_2025-05-27/E8331D05289A/,0.0
Stand (6/18),Exp_2025-06-18/E9AD0E7DCC2B/,0.0
Stand (6/20),Exp_2025-06-20-v1/E9AD0E7DCC2B/,0.0
Sit_chair (6/20),Exp_2025-06-20-v2/E9AD0E7DCC2B/,0.0
Sit_chair_leg_crossed (6/20),Exp_2025-06-20-v3/E9AD0E7DCC2B/,0.0
Sit_floor (6/20),Exp_2025-06-20-v4/E9AD0E7DCC2B/,0.0
Stand (6/20-v2),Exp_2025-06-20-v5/E9AD0E7DCC2B/,0.0
Sit_chair (6/20-v2),Exp_2025-06-20-v6/E9AD0E7DCC2B/,0.0
Sit_chair_leg_crossed (6/20-v2),Exp_2025-06-20-v7/E9AD0E7DCC2B/,0.0
Sit_floor (6/20-v2),Exp_2025-06-20-v8/E9AD0E7DCC2B/,0.0
Stand (6/23),Exp_2025-06-23-v1/E9AD0E7DCC2B/,0.0
Sit_chair (6/23),Exp_2025-06-23-v2/E9AD0E7DCC2B/,0.0
Sit_chair_leg_crossed (6/23),Exp_2025-06-23-v3/E9AD0E7DCC2B/,0.0
Sit_floor (6/23),Exp_2025-06-23-v4/E9AD0E7DCC2B/,0.0
Stand (6/24),Exp_2025-06-24-v1/E9AD0E7DCC2B/,0.0
Sit_chair (6/24),Exp_2025-06-24-v2/E9AD0E7DCC2B/,0.0
Sit_chair_leg_crossed (6/24),Exp_2025-06-24-v3/E9AD0E7DCC2B/,0.0
Sit_floor (6/24),Exp_2025-06-24-v4/E9AD0E7DCC2B/,0.0
Stand (6/26),Exp_2025-06-26-v1/E9AD0E7DCC2B/,91.38942956924438
Sit_chair (6/26),Exp_2025-06-26-v2/E9AD0E7DCC2B/,89.94
Sit_chair_leg_crossed (6/26),Exp_2025-06-26-v3/E9AD0E7DCC2B/,92.85
Sit_floor (6/26),Exp_2025-06-26-v4/E9AD0E7DCC2B/,94.97
Stand (6/27),Exp_2025-06-27-v1/E9AD0E7DCC2B/,90.6
Sit_chair (6/27),Exp_2025-06-27-v2/E9AD0E7DCC2B/,90.49
Sit_chair_leg_crossed (6/27),Exp_2025-06-27-v3/E9AD0E7DCC2B/,92.21
Sit_floor (6/27),Exp_2025-06-27-v4/E9AD0E7DCC2B/,89.44
Stand (6/30),Exp_2025-06-30-v1/E9AD0E7DCC2B/,90.31
Sit_chair (6/30),Exp_2025-06-30-v2/E9AD0E7DCC2B/,94.49
Sit_chair_leg_crossed (6/30),Exp_2025-06-30-v3/E9AD0E7DCC2B/,95.01
Sit_floor (6/30),Exp_2025-06-30-v4/E9AD0E7DCC2B/,93.05
Stand (7/1),Exp_2025-07-01-v1/E9AD0E7DCC2B/,86.93
Sit_chair (7/1),Exp_2025-07-01-v2/E9AD0E7DCC2B/,87.26
Sit_chair_leg_crossed (7/1),Exp_2025-07-01-v3/E9AD0E7DCC2B/,90.16
Sit_floor (7/1),Exp_2025-07-01-v4/E9AD0E7DCC2B/,88.4
Stand (7/2),Exp_2025-07-02-v1/E9AD0E7DCC2B/,91.68
Stand (7/7),Exp_2025-07-07-v1/E9AD0E7DCC2B/,92.41
Sit_chair (7/7),Exp_2025-07-07-v2/E9AD0E7DCC2B/,92.29
Sit_chair_leg_crossed (7/7),Exp_2025-07-07-v3/E9AD0E7DCC2B/,92.53
Sit_floor (7/7),Exp_2025-07-07-v4/E9AD0E7DCC2B/,94.01
Stand (7/9),Exp_2025-07-09-v1/E9AD0E7DCC2B/,92.03
Sit_chair (7/9),Exp_2025-07-09-v2/E9AD0E7DCC2B/,91.55
Sit_chair_leg_crossed (7/9),Exp_2025-07-09-v3/E9AD0E7DCC2B/,92.45
Sit_floor (7/9),Exp_2025-07-09-v4/E9AD0E7DCC2B/,92.76
Stand (7/10),Exp_2025-07-10-v1/E9AD0E7DCC2B/,94.61
Sit_chair (7/10),Exp_2025-07-10-v2/E9AD0E7DCC2B/,94.3
Sit_chair_leg_crossed (7/10),Exp_2025-07-10-v3/E9AD0E7DCC2B/,93.9
Sit_floor (7/10),Exp_2025-07-10-v4/E9AD0E7DCC2B/,93.7
Stand (7/11),Exp_2025-07-11-v1/E9AD0E7DCC2B/,92.51
Sit_chair (7/11),Exp_2025-07-11-v2/E9AD0E7DCC2B/,93.35
Sit_chair_leg_crossed (7/11),Exp_2025-07-11-v3/E9AD0E7DCC2B/,94.21
Sit_floor (7/11),Exp_2025-07-11-v4/E9AD0E7DCC2B/,93.25
