Info,Info_Set,Accuracy
Stand (6/27),Exp_2025-06-27-v1/E9AD0E7DCC2B/,0.0
Sit_chair (6/27),Exp_2025-06-27-v2/E9AD0E7DCC2B/,82.55813717842102
Stand (7/9),Exp_2025-07-09-v1/E9AD0E7DCC2B/,82.98
Sit_chair (7/9),Exp_2025-07-09-v2/E9AD0E7DCC2B/,80.35
Stand (7/10),Exp_2025-07-10-v1/E9AD0E7DCC2B/,86.21
Sit_chair (7/10),Exp_2025-07-10-v2/E9AD0E7DCC2B/,85.56
Stand (7/16),Exp_2025-07-16-v1/E9AD0E7DCC2B/,79.25
Sit_chair (7/16),Exp_2025-07-16-v2/E9AD0E7DCC2B/,82.03
Stand (7/17),Exp_2025-07-17-v1/E9AD0E7DCC2B/,84.7
Sit_chair (7/17),Exp_2025-07-17-v2/E9AD0E7DCC2B/,84.9
Stand (7/24),Exp_2025-07-24-v1/E9AD0E7DCC2B/,83.56
Sit_chair (7/24),Exp_2025-07-24-v2/E9AD0E7DCC2B/,83.24
Stand (8/1),Exp_2025-08-01-v1/E9AD0E7DCC2B/,80.97
Sit_chair (8/1),Exp_2025-08-01-v2/E9AD0E7DCC2B/,84.58
