Info,Info_Set,Accuracy
Stand (6/27),Exp_2025-06-27-v1/E9AD0E7DCC2B/,0.0
Sit_chair (6/27),Exp_2025-06-27-v2/E9AD0E7DCC2B/,0.0
Stand (7/9),Exp_2025-07-09-v1/E9AD0E7DCC2B/,0.0
Sit_chair (7/9),Exp_2025-07-09-v2/E9AD0E7DCC2B/,0.0
Stand (7/10),Exp_2025-07-10-v1/E9AD0E7DCC2B/,88.37209343910217
Sit_chair (7/10),Exp_2025-07-10-v2/E9AD0E7DCC2B/,87.81
Stand (7/16),Exp_2025-07-16-v1/E9AD0E7DCC2B/,80.34
Sit_chair (7/16),Exp_2025-07-16-v2/E9AD0E7DCC2B/,84.9
Stand (7/17),Exp_2025-07-17-v1/E9AD0E7DCC2B/,83.75
Sit_chair (7/17),Exp_2025-07-17-v2/E9AD0E7DCC2B/,85.88
